The police shot the fugitive.	The fugitive fell to the ground.	The fugitive dropped his gun.	effect	0	65	
The patient was dehydrated.	The nurse gave him an IV.	The nurse tested his reflexes.	effect	0	66	
The patient said his leg felt numb.	The nurse tested his reflexes.	The nurse gave him an IV.	effect	0	67	
The girl found the missing puzzle piece.	She took apart the puzzle.	She completed the puzzle.	effect	1	68	
The girl was angry.	She took apart the puzzle.	She completed the puzzle.	effect	0	69	
The man urgently leaped out of bed.	He wanted to iron his pants before work.	He wanted to shut off the alarm clock.	cause	1	70	
The man got up earlier.	He wanted to shut off the alarm clock.	He wanted to iron his pants before work.	cause	1	71	
The papers were disorganized.	I made photocopies of them.	I put them into alphabetical order.	effect	1	72	
The papers were important.	I put them into alphabetical order.	I made photocopies of them.	effect	1	73	
The woman won the lottery.	She bought a yacht.	She joined a church.	effect	0	74	
The woman felt guilty.	She joined a church.	She bought a yacht.	effect	0	75	
The seamstress pushed the threaded needle into the fabric.	The thread went through the fabric.	The thread wrapped around the needle.	effect	0	76	
The seamstress guided the thread through the eye of the needle.	The thread went through the fabric.	The thread wrapped around the needle.	effect	1	77	
The woman hired a lawyer.	She decided to run for office.	She decided to sue her employer.	cause	1	78	
The woman hired a public relations consultant.	She decided to run for office.	She decided to sue her employer.	cause	0	79	
The tenant misplaced his keys to his apartment.	His landlord unlocked the door.	His landlord repaired the door.	effect	0	80	
The tenant broke the door of his apartment.	His landlord repaired the door.	His landlord unlocked the door.	effect	0	81	
My favorite song came on the radio.	I covered my ears.	I sang along to it.	effect	1	82	
An awful song came on the radio.	I covered my ears.	I sang along to it.	effect	0	83	
The executive decided not to hire the applicant.	The applicant had experience for the job.	The applicant failed a background check.	cause	1	84	
The executive decided to hire the applicant.	The applicant failed a background check.	The applicant had experience for the job.	cause	1	85	
The man's eye became infected.	He went blind.	He put on glasses.	effect	0	86	
The man had bad eyesight.	He put on glasses.	He went blind.	effect	0	87	
The bird couldn't fly.	It migrated for the winter.	It injured its wing.	cause	1	88	
The bird flew south.	It injured its wing.	It migrated for the winter.	cause	1	89	
The girl made a wish.	She saw a black cat.	She saw a shooting star.	cause	1	90	
The girl had bad luck.	She saw a black cat.	She saw a shooting star.	cause	0	91	
The woman shivered as she got out the pool.	She wrapped herself in a towel.	She poured herself some lemonade.	effect	0	92	
The woman was thirsty after she jogged.	She poured herself some lemonade.	She wrapped herself in a towel.	effect	0	93	
The nurse prepared the needle for the patient's injection.	The patient tensed up.	The patient bled.	effect	0	94	
The nurse made a mistake during the patient's injection.	The patient bled.	The patient tensed up.	effect	0	95	
The man threw out the bread.	It was fresh.	It was stale.	cause	1	96	
The man liked the bread.	It was stale.	It was fresh.	cause	1	97	
The children knocked over a lamp.	They had a pillow fight.	They jumped on the bed.	cause	0	98	
The children bumped their heads on the ceiling.	They jumped on the bed.	They had a pillow fight.	cause	0	99	
I drank from the water fountain.	I was thirsty.	I felt nauseous.	cause	0	100	
I went to the toilet.	I was thirsty.	I felt nauseous.	cause	1	101	
The homeowners disliked their nosy neighbors.	They built a fence around their property.	They hosted a barbeque in their backyard.	effect	0	102	
The homeowners liked their neighbors.	They built a fence around their property.	They hosted a barbeque in their backyard.	effect	1	103	
The bodybuilder lifted weights.	The gym closed.	Her muscles became fatigued.	effect	1	104	
Bodybuilding fell out of fashion.	Her muscles became fatigued.	The gym closed.	effect	1	105	
The cook stirred the ingredients in the bowl.	The ingredients blended together.	The ingredients melted.	effect	0	106	
The cook boiled the ingredients in the bowl.	The ingredients melted.	The ingredients blended together.	effect	0	107	
The man signed the document.	The transaction was voided.	The transaction became official.	effect	1	108	
The man returned the document.	The transaction was voided.	The transaction became official.	effect	0	109	
The police officer dropped the gun.	The gun went off.	The gun recoiled.	effect	0	110	
The police officer shot the gun.	The gun went off.	The gun recoiled.	effect	1	111	
The woman felt compelled to help someone in need.	She donated blood.	She wrote a poem.	effect	0	112	
The woman felt compelled to express herself.	She donated blood.	She wrote a poem.	effect	1	113	
The woman felt lonely.	She renovated her kitchen.	She adopted a cat.	effect	1	114	
The woman felt creative.	She renovated her kitchen.	She adopted a cat.	effect	0	115	
I rubbed sandpaper on the wood.	The wood became smooth.	The wood became sticky.	effect	0	116	
I spilled glue on the wood.	The wood became sticky.	The wood became smooth.	effect	0	117	
The crowd gave the band a standing ovation.	The band reappeared on the stage.	The band signed autographs.	effect	0	118	
The crowd waited for the rock band at the airport.	The band signed autographs.	The band reappeared on the stage.	effect	0	119	
The man threw his empty can onto the street.	He was fined for littering.	He was jumped from behind.	effect	0	120	
The man walked alone on the street.	He was fined for littering.	He was jumped from behind.	effect	1	121	
My stomach growled.	I was full from breakfast.	I forgot to eat breakfast.	cause	1	122	
My stomach was heavy.	I was full from breakfast.	I forgot to eat breakfast.	cause	0	123	
The boaters set off a flare.	Their boat drifted to shore.	Their boat was rescued.	effect	1	124	
The boaters caught a nice current.	Their boat drifted to shore.	Their boat was rescued.	effect	0	125	
The man removed his coat.	He entered the house.	He loosened his tie.	cause	0	126	
The man could breathe better.	He loosened his tie.	He entered the house.	cause	0	127	
The family took their dog to the veterinarian.	The dog injured his paw.	The dog chewed on a bone.	cause	0	128	
The dog broke his teeth.	The dog injured his paw.	The dog chewed on a bone.	cause	1	129	
The woman dangled the biscuit above the dog.	The dog jumped up.	The dog scratched its fur.	effect	0	130	
The dog had lice.	The dog jumped up.	The dog scratched its fur.	effect	1	131	
I learned how to play the board game.	My friend got the rules wrong.	My friend explained the rules to me.	cause	1	132	
The board game ended in a disaster.	My friend explained the rules to me.	My friend got the rules wrong.	cause	1	133	
The man went away for the weekend.	He wanted to relax.	He felt content.	cause	0	134	
The man did not need to buy more things.	He felt content.	He wanted to relax.	cause	0	135	
The shop was closed.	The shop was undergoing renovation.	The owner was helping customers.	cause	0	136	
The shop was very popular.	The shop was undergoing renovation.	The owner was helping customers.	cause	1	137	
The boy tuned the radio.	The station was playing rock music.	The station was coming in with static.	cause	1	138	
The boy listened to the radio.	The station was playing rock music.	The station was coming in with static.	cause	0	139	
The terrorist set off the bomb.	The bomb was deactivated.	The bomb exploded.	effect	1	140	
The police found the bomb.	The bomb was deactivated.	The bomb exploded.	effect	0	141	
The police handcuffed the suspect.	The police called for backup.	The suspect resisted arrest.	cause	1	142	
The police was hit by the suspect.	The suspect resisted arrest.	The police called for backup.	cause	1	143	
The authorities vowed to protect the identity of the crime victim.	The victim struggled to recall details about the crime.	They withheld the victim's name from the public.	effect	1	144	
The authorities brought on the case many years later.	They withheld the victim's name from the public.	The victim struggled to recall details about the crime.	effect	1	145	
The man's clothes fit loosely.	He bought them on sale.	He lost weight.	cause	1	146	
The man's clothes were cheap.	He lost weight.	He bought them on sale.	cause	1	147	
The clock stopped ticking.	I took extra time to get ready.	The clock showed the wrong time.	effect	1	148	
The time was earlier than I thought.	The clock showed the wrong time.	I took extra time to get ready.	effect	1	149	
The man closed the umbrella.	He got out of the car.	He approached the building.	cause	1	150	
The man opened the umbrella.	He approached the building.	He got out of the car.	cause	1	151	
The man craved a cigarette.	His family urged him to quit smoking.	He was addicted to nicotine.	cause	1	152	
The man threw his cigarettes away.	He was addicted to nicotine.	His family urged him to quit smoking.	cause	1	153	
The man dropped food on the floor.	His dog ran over to eat the food.	His dog jumped up on him.	effect	0	154	
The man had a cookie in his hand.	His dog ran over to eat the food.	His dog jumped up on him.	effect	1	155	
The girl was angry with her friend.	The girl told a secret to her friend.	The girl spread a rumor about her friend.	effect	1	156	
The girl trusted her friend.	The girl told a secret to her friend.	The girl spread a rumor about her friend.	effect	0	157	
The fugitive hid from the police.	The fugitive remained at large.	The police dropped the case.	effect	0	158	
The fugitive was shot by the police.	The police dropped the case.	The fugitive remained at large.	effect	0	159	
I tipped the bottle.	The liquid in the bottle poured out.	The liquid in the bottle froze.	effect	0	160	
I put the bottle into a freezer.	The liquid in the bottle froze.	The liquid in the bottle poured out.	effect	0	161	
The woman spoke with a foreign accent.	She came from a wealthy family.	She migrated from another country.	cause	1	162	
The woman was rich.	She came from a wealthy family.	She migrated from another country.	cause	0	163	
The boy's mouth stung.	He blew out the candle.	He ate a pepper.	cause	1	164	
Smoke got in the boy's eyes.	He blew out the candle.	He ate a pepper.	cause	0	165	
I finished a page of the book.	I turned to the next page.	I ripped out the next page.	effect	0	166	
I got angry while reading the book.	I ripped out the next page.	I turned to the next page.	effect	0	167	
The service at the restaurant was slow.	The restaurant was crowded.	There were many empty tables.	cause	0	168	
The service at the restaurant was quick.	There were many empty tables.	The restaurant was crowded.	cause	0	169	
I saw a woman getting robbed on the street.	I called 911.	I hailed a cab.	effect	0	170	
I was late for the meeting.	I hailed a cab.	I called 911.	effect	0	171	
My stomach hurt.	I ate birthday cake.	I jogged on the treadmill.	cause	0	172	
My feet hurt.	I jogged on the treadmill.	I ate birthday cake.	cause	0	173	
I put my plate in the sink.	I finished eating.	I skipped dinner.	cause	0	174	
I didn't have to do the dishes.	I finished eating.	I skipped dinner.	cause	1	175	
The man closed the book.	It provoked him to think.	He finished reading it.	cause	1	176	
The man liked the book.	He finished reading it.	It provoked him to think.	cause	1	177	
The boy read the novel aloud to his grandfather.	His grandfather was deaf.	His grandfather was blind.	cause	1	178	
The boy communicated with his grandfather by writing.	His grandfather was deaf.	His grandfather was blind.	cause	0	179	
My foot went numb.	I shook my foot.	I put my shoes on.	effect	0	180	
The sand at the beach was too hot.	I put my shoes on.	I shook my foot.	effect	0	181	
The photographer got the child to smile.	The photographer quickly snapped the child's photo.	The photographer quickly changed the child's pose.	effect	0	182	
The photographer could not see the child's face.	The photographer quickly changed the child's pose.	The photographer quickly snapped the child's photo.	effect	0	183	
The window was opaque.	The glass was stained.	The blinds were open.	cause	0	184	
The sun was coming through the window.	The blinds were open.	The glass was stained.	cause	0	185	
I slipped on the floor.	The tile was cracked.	The tile was wet.	cause	1	186	
I cut my foot on the floor.	The tile was cracked.	The tile was wet.	cause	0	187	
The man slid the razor across his chin.	His stubble grew.	His stubble disappeared.	effect	1	188	
The man did not shave.	His stubble disappeared.	His stubble grew.	effect	1	189	
The woman took her family on vacation.	Her husband got laid off.	She received a salary bonus.	cause	1	190	
The woman looked for a job.	She received a salary bonus.	Her husband got laid off.	cause	1	191	
The woman awakened.	She took sleeping pills.	Her husband was snoring.	cause	1	192	
The woman did not wake up.	Her husband was snoring.	She took sleeping pills.	cause	1	193	
The woman sensed a pleasant smell.	She remembered to take her medication.	She was reminded of her childhood.	effect	1	194	
The woman felt dizzy.	She was reminded of her childhood.	She remembered to take her medication.	effect	1	195	
The bar closed.	It was 3 AM.	It was crowded.	cause	0	196	
There was nowhere to sit in the bar.	It was crowded.	It was 3 AM.	cause	0	197	
The driver got pulled over by the police.	He was parking.	He was speeding.	cause	1	198	
The driver looked into the rear camera.	He was parking.	He was speeding.	cause	0	199	
The teacher took roll.	She identified the students that were absent.	She gave her students a pop quiz.	effect	0	200	
The teacher wanted to grade the students.	She gave her students a pop quiz.	She identified the students that were absent.	effect	0	201	
I pushed the pendulum.	It swung back and forth.	It slowed to a stop.	effect	0	202	
I blocked the pendulum.	It swung back and forth.	It slowed to a stop.	effect	1	203	
The child kicked the stack of blocks.	The stack towered over the boy's head.	The blocks scattered all over the rug.	effect	1	204	
The child punched the stack of blocks.	The stack towered over the boy's head.	The blocks scattered all over the rug.	effect	0	205	
The teenager ran away from home.	He relied on his parents.	His parents abused him.	cause	1	206	
The teenager always stayed home.	He relied on his parents.	His parents abused him.	cause	0	207	
I botched the job interview.	I anticipated the interviewer's questions.	The interviewer asked difficult questions.	cause	1	208	
I passed the job interview.	I anticipated the interviewer's questions.	The interviewer asked difficult questions.	cause	0	209	
The pharmaceutical company recalled the drug.	Users got refills on their prescriptions.	Users reported dangerous side effects.	cause	1	210	
The pharmaceutical company promoted the drug.	Users got refills on their prescriptions.	Users reported dangerous side effects.	cause	0	211	
The man looked at his watch.	He realized he was early.	He realized he forgot something.	effect	0	212	
The man looked at his list.	He realized he was early.	He realized he forgot something.	effect	1	213	
I dabbed the floor with a paper towel.	The floor was permanently stained.	I spilled juice on the floor.	cause	1	214	
I replaced the floor with brand new tile.	I spilled juice on the floor.	The floor was permanently stained.	cause	1	215	
The bartender refused to serve the patron.	The patron was alone.	The patron was drunk.	cause	1	216	
The bartender accompanied the patron.	The patron was drunk.	The patron was alone.	cause	1	217	
I was confused by the professor's lecture.	I asked the professor questions.	I paid attention to the professor.	effect	0	218	
I was interested in the professor's lecture.	I paid attention to the professor.	I asked the professor questions.	effect	0	219	
The book was deemed inappropriate for children.	Schools banned it from its libraries.	Teachers required students to read it.	effect	0	220	
The book was deemed appropriate for children.	Teachers required students to read it.	Schools banned it from its libraries.	effect	0	221	
The man begged for forgiveness.	The woman joked around with him.	The woman took pity on him.	effect	1	222	
The man laughed at comedy.	The woman joked around with him.	The woman took pity on him.	effect	0	223	
I received a package in the mail.	I took the package to the post office.	The package triggered my curiosity.	effect	1	224	
I received someone's package in the mail.	I took the package to the post office.	The package triggered my curiosity.	effect	0	225	
The surfer caught the wave.	She paddled her board into the ocean.	The wave carried her to the shore.	effect	1	226	
The surfer saw the wave.	She paddled her board into the ocean.	The wave carried her to the shore.	effect	0	227	
The speaker disarmed her debate opponent.	The speaker congratulated her opponent.	The speaker won the debate.	effect	1	228	
The speaker was defeated by her debate opponent.	The speaker won the debate.	The speaker congratulated her opponent.	effect	1	229	
I moved to a new city.	My son was born.	I found a better-paying job.	cause	1	230	
I was moved.	My son was born.	I found a better-paying job.	cause	0	231	
I avoided giving a straight answer to the question.	The question made me uncomfortable.	I wanted to be honest.	cause	0	232	
I promised to give a straight answer to the question.	The question made me uncomfortable.	I wanted to be honest.	cause	1	233	
The student received detention.	He talked back to the teacher.	The teacher graded his homework.	cause	0	234	
The student learned most mistakes.	He talked back to the teacher.	The teacher graded his homework.	cause	1	235	
The boy's hands were shaking.	He planned to ask the girl out.	His palms were cold and sweaty.	cause	0	236	
The boy's friends were scared.	He planned to ask the girl out.	His palms were cold and sweaty.	cause	1	237	
The fans in the stadium cheered.	The game ended in a tie.	The player scored.	cause	1	238	
The fans in the stadium were apathetic.	The player scored.	The game ended in a tie.	cause	1	239	
The girl went down the hill on her bike.	Her bike swerved.	Her bike sped up.	effect	1	240	
The girl turned down the hill on her bike.	Her bike sped up.	Her bike swerved.	effect	1	241	
A man cut in front of me in the long line.	I confronted him.	I smiled at him.	effect	0	242	
A man let me in front of the long line.	I confronted him.	I smiled at him.	effect	1	243	
The inside of the train went dark.	The train travelled through a tunnel.	The train ran off the tracks.	cause	0	244	
The inside of the train became destroyed.	The train ran off the tracks.	The train travelled through a tunnel.	cause	0	245	
The man contemplated the painting.	He collapsed.	He felt in awe.	effect	1	246	
The man had a heart attack.	He felt in awe.	He collapsed.	effect	1	247	
The turtle hid in its shell.	It detected a predator.	It ate a fish.	cause	0	248	
The turtle felt tired.	It detected a predator.	It ate a fish.	cause	1	249	
The girl handed down her clothes to her younger sister.	She outgrew the clothes.	The clothes were tattered.	cause	0	250	
The girl threw her clothes away.	The clothes were tattered.	She outgrew the clothes.	cause	0	251	
Several witnesses of the crime testified against the suspect.	The suspect was acquitted.	The suspect was convicted.	effect	1	252	
No witnesses of the crime testified against the suspect.	The suspect was convicted.	The suspect was acquitted.	effect	1	253	
The parents left their children with a babysitter.	They made plans to celebrate their anniversary.	Their youngest child started attending preschool.	cause	0	254	
The parents left their children with a teacher.	They made plans to celebrate their anniversary.	Their youngest child started attending preschool.	cause	1	255	
The trip took a long time.	The driver talked the whole way.	The driver made a wrong turn.	cause	1	256	
The trip was a fun time.	The driver talked the whole way.	The driver made a wrong turn.	cause	0	257	
The product was heavily advertised.	The product became outdated.	Consumers recognized the product.	effect	1	258	
The producted was replaced.	The product became outdated.	Consumers recognized the product.	effect	0	259	
I rubbed the soap between my hands.	My hands went numb.	The soap foamed.	effect	1	260	
I slammed my hands in the door.	The soap foamed.	My hands went numb.	effect	1	261	
The cowgirl threw her lasso towards the horse.	The lasso grabbed onto the horse.	The horse trotted into the barn.	effect	0	262	
The cowgirl missed her lasso towards the horse.	The horse trotted into the barn.	The lasso grabbed onto the horse.	effect	0	263	
The group overlooked the woman's faux pas.	The woman apologized.	The woman was relieved.	effect	1	264	
The group was offended by the woman's faux pas.	The woman apologized.	The woman was relieved.	effect	0	265	
The girl came across an unfamiliar word in her textbook.	She looked the term up in the dictionary.	She chucked the textbook across the room.	effect	0	266	
The girl came across an offensive word in her textbook.	She chucked the textbook across the room.	She looked the term up in the dictionary.	effect	0	267	
The man became disabled.	His family cut off contact with him.	His family offered him financial support.	effect	1	268	
The man became offensive.	His family offered him financial support.	His family cut off contact with him.	effect	1	269	
The flashlight was dead.	I took it apart.	I replaced the batteries.	effect	1	270	
The flashlight was broken.	I replaced the batteries.	I took it apart.	effect	1	271	
The skunk sprayed the dog.	The dog emitted a foul smell.	The skunk roamed the woods.	effect	0	272	
The skunk became hungry.	The skunk roamed the woods.	The dog emitted a foul smell.	effect	0	273	
I scratched my skin.	My itch went away.	My scar faded.	effect	0	274	
I cleaned my skin.	My scar faded.	My itch went away.	effect	0	275	
I wrote a thank-you note to my grandmother.	She sent me a gift.	She became forgetful.	cause	0	276	
I wrote a reminder note to my grandmother.	She sent me a gift.	She became forgetful.	cause	1	277	
A burglar broke into the house.	The homeowners were asleep.	The security alarm went off.	effect	1	278	
It was night in a quiet neighborhood.	The security alarm went off.	The homeowners were asleep.	effect	1	279	
I held the door for the woman entering behind me.	The woman thanked me.	The door slammed shut.	effect	0	280	
The woman behind me left the door open.	The woman thanked me.	The door slammed shut.	effect	1	281	
The mirror in the bathroom fogged up.	The girl applied her makeup.	The girl turned on the fan.	effect	1	282	
The mirror in the bathroom cleared up.	The girl turned on the fan.	The girl applied her makeup.	effect	1	283	
The security guard tackled the man.	The man reached into his pocket.	The man displayed a weapon.	cause	1	284	
The security guard questioned the man.	The man displayed a weapon.	The man reached into his pocket.	cause	1	285	
The driver rotated the steering wheel.	The car turned.	The car halted.	effect	0	286	
The drived pressed on the brakes.	The car halted.	The car turned.	effect	0	287	
The army surrendered the battle.	They were outnumbered.	They stormed the city.	cause	0	288	
The army won the battle.	They were outnumbered.	They stormed the city.	cause	1	289	
The navy bombed the ship.	The ship crashed into the pier.	The ship's debris sunk in the sea.	effect	1	290	
The captain passed out.	The ship's debris sunk in the sea.	The ship crashed into the pier.	effect	1	291	
I ironed my shirt.	It was wrinkled.	It was clean.	cause	0	292	
I wore my shirt.	It was clean.	It was wrinkled.	cause	0	293	
The girl felt dizzy.	She did stretches.	She lost her balance.	effect	1	294	
The girl wanted to exercise.	She lost her balance.	She did stretches.	effect	1	295	
The driver pulled over to the side of the road.	He noticed a stranded vehicle.	He went through an intersection.	cause	0	296	
The driver crashed over to the side of the road.	He noticed a stranded vehicle.	He went through an intersection.	cause	1	297	
The hospital sent the patient home.	The patient's symptoms cleared up.	The patient's family visited him.	cause	0	298	
The patient felt happy.	The patient's family visited him.	The patient's symptoms cleared up.	cause	0	299	
The child caught a life-threatening illness.	She didn't get vaccinated.	She was adopted.	cause	0	300	
The child did not know her parents.	She was adopted.	She didn't get vaccinated.	cause	0	301	
We found empty seats in the theatre.	We sat down.	The film began.	effect	0	302	
The opening credits finished playing.	The film began.	We sat down.	effect	0	303	
The parents recognized their daughter's creativity.	They encouraged her to become an artist.	They taught her how to ride a bike.	effect	0	304	
The parents recognized their daughter's interest in sports.	They encouraged her to become an artist.	They taught her how to ride a bike.	effect	1	305	
The boy turned the lid on the jar.	The jar became warm.	The lid came off.	effect	1	306	
The boy rubbed the side of the jar.	The lid came off.	The jar became warm.	effect	1	307	
The woman received a diploma.	She enrolled in college.	She graduated from college.	cause	1	308	
The woman aimed for a diploma.	She enrolled in college.	She graduated from college.	cause	0	309	
I chugged the pitcher of water.	I ran five miles.	I walked upstairs.	cause	0	310	
I reached the top of the building.	I walked upstairs.	I ran five miles.	cause	0	311	
I came upon a puddle on the sidewalk.	I leapt over the puddle.	I played in the puddle.	effect	0	312	
The puddle on the sidewalk looked fun.	I leapt over the puddle.	I played in the puddle.	effect	1	313	
The woman covered her ears.	The woman smelled smoke.	The fire alarm blared.	cause	1	314	
The woman covered her nose.	The fire alarm blared.	The woman smelled smoke.	cause	1	315	
The archeologist dug up the site.	She read about the site's history.	She excavated ancient artifacts.	effect	1	316	
The archelogist discovered the site.	She read about the site's history.	She excavated ancient artifacts.	effect	0	317	
The audience booed the comedian off the stage.	He entertained the audience.	He told a racist joke.	cause	1	318	
The audience applauded the comedian on stage.	He entertained the audience.	He told a racist joke.	cause	0	319	
The coach gave his player a high five.	The player got a penalty.	The player scored a point.	cause	1	320	
The coach gave his player a headshake.	The player got a penalty.	The player scored a point.	cause	0	321	
I tossed the ball upwards.	The ball hit the ceiling.	The ball rolled across the ground.	effect	0	322	
I tossed the ball forward.	The ball hit the ceiling.	The ball rolled across the ground.	effect	1	323	
My breath smelled of garlic.	I wiped my mouth.	I brushed my teeth.	effect	1	324	
My lips were covered in garlic.	I wiped my mouth.	I brushed my teeth.	effect	0	325	
The man was lost.	He asked for directions.	He drew a map.	effect	0	326	
The man was local.	He drew a map.	He asked for directions.	effect	0	327	
The baby pulled the mother's hair.	The mother grimaced.	The baby burped.	effect	0	328	
The mother patted the baby's back.	The mother grimaced.	The baby burped.	effect	1	329	
I stood on one foot.	My balance wavered.	I kneeled down.	effect	0	330	
I was tired of standing.	I kneeled down.	My balance wavered.	effect	0	331	
I pushed the gas pedal.	The car accelerated.	The car door opened.	effect	0	332	
I pulled on the knob.	The car door opened.	The car accelerated.	effect	0	333	
My car was towed.	I jumped the battery.	I parked illegally.	cause	1	334	
My car was rejuvenated.	I parked illegally.	I jumped the battery.	cause	1	335	
The woman got away with the crime.	She destroyed the evidence.	Her accomplice was apprehended.	cause	0	336	
The woman got charged with the crime.	Her accomplice was apprehended.	She destroyed the evidence.	cause	0	337	
The dust came off the desk.	I removed the books from the desk.	I wiped the desk with a cloth.	cause	1	338	
The desk was light.	I wiped the desk with a cloth.	I removed the books from the desk.	cause	1	339	
The motorcyclist twisted the throttle.	The motorcycle shot forward.	The motorcycle coasted to a halt.	effect	0	340	
